trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
895,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.412254040790456,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
896,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.56982306194162,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
897,False,"{'a': 0.5, 'e': 1.0}",20,3,-62.07264931647244,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 0}",1
898,False,"{'a': 0.5, 'e': 1.0}",20,8,-82.37996962862465,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 1}",1
899,False,"{'a': 0.5, 'e': 1.0}",20,16,6.630516363292815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
900,False,"{'a': 0.5, 'e': 1.0}",20,15,1.5187437562639086,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
901,False,"{'a': 0.5, 'e': 1.0}",20,10,-70.57291744040238,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
902,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.95905083765349,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
903,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.8437889867893,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
904,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.680225329182203,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
905,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.02164252564906,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
906,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.729307746217273,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
907,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.59248888364228,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
908,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.64691473302699,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
909,False,"{'a': 0.5, 'e': 1.0}",20,3,-46.76516481433289,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 0}",1
910,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.16984567080271,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
911,False,"{'a': 0.5, 'e': 1.0}",20,2,-77.52233935601667,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
912,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.11923486250153,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
913,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.731989737060463,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
914,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.2154643106999,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
915,False,"{'a': 0.5, 'e': 1.0}",20,7,-27.853103162569262,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
916,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.32879325640859,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
917,False,"{'a': 0.5, 'e': 1.0}",20,2,-75.9988026194895,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 0}",1
918,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.36529279020276,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
